HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.tweet0,Input.tweet1,Input.tweet2,Input.tweet3,Input.tweet4,Input.tweet5,Input.tweet6,Input.tweet7,Input.tweet8,Input.tweet9,Input.control,Input.label,Answer.Q0,Answer.Q1,Answer.Q2,Answer.Q3,Answer.Q4,Answer.Q5,Answer.Q6,Answer.Q7,Answer.Q8,Answer.Q9,Answer.comment,Approve,Reject
2CQER9Y8TNKIS3XSJ56H12OM26Y7UD,2S6PGFL6VCPW5DWTRH9O41S7SRT6LA,Label the sentiment of each tweet about Microsoft,"In this job, you will be presented with tweets about Microsoft. We need you to review the tweets and classify each tweet's sentiment.",twitter sentiment analysis microsoft positive neutral negative,$0.05 ,Wed Sep 18 05:26:31 GMT 2013,3,BatchId:1270462;,1800,28800,Wed Sep 25 05:26:31 GMT 2013,,,2CJCJK63ZVE3NV5Q831QIJL5ZNXY9M,A2FX9JQSS8NL7K,Approved,Wed Sep 18 06:33:05 GMT 2013,Wed Sep 18 06:34:02 GMT 2013,Wed Sep 18 14:34:02 GMT 2013,2013/09/18 14:35:17 +0000,,,57,100% (27/27),100% (27/27),100% (27/27),RT @TheNextWeb: Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/jHBBjsrgTS by @kaylenehong,Microsoft Pangkas Harga Nokia Lumia 1020 Hingga Rp 1 Jutaan: 09/09/2013 10:50 Paduan smartphone dengan kamera ... http://t.co/KgmSEzQ58X,Microsoft Exelnya agak agak lupa !!!!,"Microsoft Expands Xbox Music Service to Android, Apple Devices - Businessweek: Boston GlobeMicrosoft Expands X... http://t.co/SUMbye8pxX",RT @TheNextWeb: Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/jHBBjsrgTS by @kaylenehong,Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/z2LpfFS7ah by @kaylenehong,"RT @liputan6dotcom: Wow, Microsoft Pangkas Harga Nokia Lumia Hingga Rp 1 Jutaan. Tertarik?  http://t.co/ru4OWuOWJV via @Lip6Tekno http://t.",RT @TheNextWeb: Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/jHBBjsrgTS by @kaylenehong,"Gayme On!: 3 Consoles, 3 Companies: Microsoft http://t.co/GHwdNFJXg0",from @jeruknipiscom Microsoft Turunkan Harga Nokia Lumia 1020 Di Amerika http://t.co/kZ2gWRjgAQ,7,positive,Choice1,Choice2,Choice2,Choice4,Choice5,Choice3,Choice1,Choice2,Choice3,Choice4,,,
2CQER9Y8TNKIS3XSJ56H12OM26Y7UD,2S6PGFL6VCPW5DWTRH9O41S7SRT6LA,Label the sentiment of each tweet about Microsoft,"In this job, you will be presented with tweets about Microsoft. We need you to review the tweets and classify each tweet's sentiment.",twitter sentiment analysis microsoft positive neutral negative,$0.05 ,Wed Sep 18 05:26:31 GMT 2013,3,BatchId:1270462;,1800,28800,Wed Sep 25 05:26:31 GMT 2013,,,2IQ1THV8ER9YEXSQW7QSV5KFPCJP2Q,A3PDKI5EE5ZC5B,Approved,Wed Sep 18 06:30:06 GMT 2013,Wed Sep 18 06:31:56 GMT 2013,Wed Sep 18 14:31:56 GMT 2013,2013/09/18 14:35:16 +0000,,,110,100% (23/23),100% (23/23),100% (23/23),RT @TheNextWeb: Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/jHBBjsrgTS by @kaylenehong,Microsoft Pangkas Harga Nokia Lumia 1020 Hingga Rp 1 Jutaan: 09/09/2013 10:50 Paduan smartphone dengan kamera ... http://t.co/KgmSEzQ58X,Microsoft Exelnya agak agak lupa !!!!,"Microsoft Expands Xbox Music Service to Android, Apple Devices - Businessweek: Boston GlobeMicrosoft Expands X... http://t.co/SUMbye8pxX",RT @TheNextWeb: Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/jHBBjsrgTS by @kaylenehong,Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/z2LpfFS7ah by @kaylenehong,"RT @liputan6dotcom: Wow, Microsoft Pangkas Harga Nokia Lumia Hingga Rp 1 Jutaan. Tertarik?  http://t.co/ru4OWuOWJV via @Lip6Tekno http://t.",RT @TheNextWeb: Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/jHBBjsrgTS by @kaylenehong,"Gayme On!: 3 Consoles, 3 Companies: Microsoft http://t.co/GHwdNFJXg0",from @jeruknipiscom Microsoft Turunkan Harga Nokia Lumia 1020 Di Amerika http://t.co/kZ2gWRjgAQ,7,positive,Choice4,Choice4,Choice3,Choice4,Choice4,Choice4,Choice4,Choice3,Choice4,Choice4,,,
2CQER9Y8TNKIS3XSJ56H12OM26Y7UD,2S6PGFL6VCPW5DWTRH9O41S7SRT6LA,Label the sentiment of each tweet about Microsoft,"In this job, you will be presented with tweets about Microsoft. We need you to review the tweets and classify each tweet's sentiment.",twitter sentiment analysis microsoft positive neutral negative,$0.05 ,Wed Sep 18 05:26:31 GMT 2013,3,BatchId:1270462;,1800,28800,Wed Sep 25 05:26:31 GMT 2013,,,2ZV6XBAT2D5NW2SBTOH0SG5T666151,AH1OF8SMYHFGO,Approved,Wed Sep 18 06:39:58 GMT 2013,Wed Sep 18 06:53:00 GMT 2013,Wed Sep 18 14:53:00 GMT 2013,2013/09/18 14:55:16 +0000,,,782,100% (31/31),100% (31/31),100% (31/31),RT @TheNextWeb: Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/jHBBjsrgTS by @kaylenehong,Microsoft Pangkas Harga Nokia Lumia 1020 Hingga Rp 1 Jutaan: 09/09/2013 10:50 Paduan smartphone dengan kamera ... http://t.co/KgmSEzQ58X,Microsoft Exelnya agak agak lupa !!!!,"Microsoft Expands Xbox Music Service to Android, Apple Devices - Businessweek: Boston GlobeMicrosoft Expands X... http://t.co/SUMbye8pxX",RT @TheNextWeb: Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/jHBBjsrgTS by @kaylenehong,Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/z2LpfFS7ah by @kaylenehong,"RT @liputan6dotcom: Wow, Microsoft Pangkas Harga Nokia Lumia Hingga Rp 1 Jutaan. Tertarik?  http://t.co/ru4OWuOWJV via @Lip6Tekno http://t.",RT @TheNextWeb: Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/jHBBjsrgTS by @kaylenehong,"Gayme On!: 3 Consoles, 3 Companies: Microsoft http://t.co/GHwdNFJXg0",from @jeruknipiscom Microsoft Turunkan Harga Nokia Lumia 1020 Di Amerika http://t.co/kZ2gWRjgAQ,7,positive,Choice4,Choice3,Choice3,Choice4,Choice4,Choice6,Choice4,Choice3,Choice6,Choice4,,,
2NAK9RJ85OZI5IMSOVGMXOQ5GD77V2,2S6PGFL6VCPW5DWTRH9O41S7SRT6LA,Label the sentiment of each tweet about Microsoft,"In this job, you will be presented with tweets about Microsoft. We need you to review the tweets and classify each tweet's sentiment.",twitter sentiment analysis microsoft positive neutral negative,$0.05 ,Wed Sep 18 05:26:31 GMT 2013,3,BatchId:1270462;,1800,28800,Wed Sep 25 05:26:31 GMT 2013,,,2HSG5R98D8J31IC26DKN7CG3UW3EUF,AH1OF8SMYHFGO,Approved,Wed Sep 18 06:44:43 GMT 2013,Wed Sep 18 06:45:12 GMT 2013,Wed Sep 18 14:45:12 GMT 2013,2013/09/18 14:45:16 +0000,,,29,100% (31/31),100% (31/31),100% (31/31),Microsoft doubles down on Xbox Music with revamped service  including iOS and Google Play apps,"http://t.co/2JxWCWZoyL   - microsoft office access 2007,  ",Microsoft doubles down on Xbox Music with revamped service  including iOS and Google Play apps http://t.co/YoeYeaJxtA #xplatformgames,Microsoft Is About to Get Scroogled http://t.co/lMRS0Pv7IF,RT @uildverjiltmn: Microsoft   Nokia-    |    ... http://t.co/ic0aJofTL5,Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/YFcHu2CMxK,"RT @MSFTnews: Microsoft brings @Xbox Music to iOS and Android devices, plus free streaming on the Web. http://t.co/zbMiNyv5PO",Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/yRIMwicFix,Microsoft Launches Xbox Music on Web for Free http://t.co/1e4nzI2yZr,"RT @MSFTnews: Microsoft brings @Xbox Music to iOS and Android devices, plus free streaming on the Web. http://t.co/zbMiNyv5PO",2,positive,Choice4,Choice3,Choice4,Choice4,Choice3,Choice4,Choice4,Choice4,Choice4,Choice4,,,
2NAK9RJ85OZI5IMSOVGMXOQ5GD77V2,2S6PGFL6VCPW5DWTRH9O41S7SRT6LA,Label the sentiment of each tweet about Microsoft,"In this job, you will be presented with tweets about Microsoft. We need you to review the tweets and classify each tweet's sentiment.",twitter sentiment analysis microsoft positive neutral negative,$0.05 ,Wed Sep 18 05:26:31 GMT 2013,3,BatchId:1270462;,1800,28800,Wed Sep 25 05:26:31 GMT 2013,,,2LW9F9SSSHX17NTT6EWHEF8JC86UY8,A2FX9JQSS8NL7K,Approved,Wed Sep 18 06:37:11 GMT 2013,Wed Sep 18 06:38:00 GMT 2013,Wed Sep 18 14:38:00 GMT 2013,2013/09/18 14:40:17 +0000,,,49,100% (27/27),100% (27/27),100% (27/27),Microsoft doubles down on Xbox Music with revamped service  including iOS and Google Play apps,"http://t.co/2JxWCWZoyL   - microsoft office access 2007,  ",Microsoft doubles down on Xbox Music with revamped service  including iOS and Google Play apps http://t.co/YoeYeaJxtA #xplatformgames,Microsoft Is About to Get Scroogled http://t.co/lMRS0Pv7IF,RT @uildverjiltmn: Microsoft   Nokia-    |    ... http://t.co/ic0aJofTL5,Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/YFcHu2CMxK,"RT @MSFTnews: Microsoft brings @Xbox Music to iOS and Android devices, plus free streaming on the Web. http://t.co/zbMiNyv5PO",Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/yRIMwicFix,Microsoft Launches Xbox Music on Web for Free http://t.co/1e4nzI2yZr,"RT @MSFTnews: Microsoft brings @Xbox Music to iOS and Android devices, plus free streaming on the Web. http://t.co/zbMiNyv5PO",2,positive,Choice2,Choice2,Choice3,Choice4,Choice5,Choice1,Choice2,Choice3,Choice1,Choice4,,,
2NAK9RJ85OZI5IMSOVGMXOQ5GD77V2,2S6PGFL6VCPW5DWTRH9O41S7SRT6LA,Label the sentiment of each tweet about Microsoft,"In this job, you will be presented with tweets about Microsoft. We need you to review the tweets and classify each tweet's sentiment.",twitter sentiment analysis microsoft positive neutral negative,$0.05 ,Wed Sep 18 05:26:31 GMT 2013,3,BatchId:1270462;,1800,28800,Wed Sep 25 05:26:31 GMT 2013,,,2ZBWKUDD8XMB9U8FDL263TO61OWCNR,A1UYEKLO65NE9A,Approved,Wed Sep 18 06:31:39 GMT 2013,Wed Sep 18 06:32:15 GMT 2013,Wed Sep 18 14:32:15 GMT 2013,2013/09/18 14:35:16 +0000,,,36,100% (63/63),100% (63/63),100% (63/63),Microsoft doubles down on Xbox Music with revamped service  including iOS and Google Play apps,"http://t.co/2JxWCWZoyL   - microsoft office access 2007,  ",Microsoft doubles down on Xbox Music with revamped service  including iOS and Google Play apps http://t.co/YoeYeaJxtA #xplatformgames,Microsoft Is About to Get Scroogled http://t.co/lMRS0Pv7IF,RT @uildverjiltmn: Microsoft   Nokia-    |    ... http://t.co/ic0aJofTL5,Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/YFcHu2CMxK,"RT @MSFTnews: Microsoft brings @Xbox Music to iOS and Android devices, plus free streaming on the Web. http://t.co/zbMiNyv5PO",Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/yRIMwicFix,Microsoft Launches Xbox Music on Web for Free http://t.co/1e4nzI2yZr,"RT @MSFTnews: Microsoft brings @Xbox Music to iOS and Android devices, plus free streaming on the Web. http://t.co/zbMiNyv5PO",2,positive,Choice2,Choice3,Choice2,Choice4,Choice4,Choice4,Choice2,Choice2,Choice4,Choice4,,,
27G2RCJK63ZVK7MXE5LIJQ9JNM97WC,2S6PGFL6VCPW5DWTRH9O41S7SRT6LA,Label the sentiment of each tweet about Microsoft,"In this job, you will be presented with tweets about Microsoft. We need you to review the tweets and classify each tweet's sentiment.",twitter sentiment analysis microsoft positive neutral negative,$0.05 ,Wed Sep 18 05:26:31 GMT 2013,3,BatchId:1270462;,1800,28800,Wed Sep 25 05:26:31 GMT 2013,,,20O618N46UXFIH9BBX5TWDSN140PR6,A1UYEKLO65NE9A,Approved,Wed Sep 18 06:24:59 GMT 2013,Wed Sep 18 06:25:51 GMT 2013,Wed Sep 18 14:25:51 GMT 2013,2013/09/18 14:30:16 +0000,,,52,100% (63/63),100% (63/63),100% (63/63),How Microsoft Outlook Support helps you to work in peace http://t.co/jmMiJNmwIS,#NewarkJobs Senior System Administrator (Microsoft): Forces Recruitment Services (Franchising)... http://t.co/NYKDNN9dvL #Job #Newark #Jobs,"Xbox Music Launches On Ios And Android, Free Streaming On The Web:  Microsoft is expanding its Xbox Music serv... http://t.co/3iDABF5Uws","has presented before audiences at Microsoft, Amazon, Televisa, Stanford Business School, Harvard Business School, and many other","Music, Noodles, Microsoft Word #InMyZone","#geordi3B0y With Android plateauing, can Microsoft take advantage? - Indian Express http://t.co/JCQv1hErDZ",microsoft office 2007  windows xp torrent:   -   !   ... http://t.co/O5ZVHP2CuS,"Microsoft System Center Orchestrator Engineer - Oak Brook, IL #job #hiring http://t.co/1EnS2W1Vqx",Microsoft Pangkas Harga Nokia Lumia 1020 Hingga Rp 1 Jutaan: 09/09/2013 10:50 Paduan smartphone dengan kamera ... http://t.co/Qy4vENrQ4C,Microsoft cubic read-dextrous climate auroraux endure referring to straight a notebook,0,positive,Choice4,Choice6,Choice3,Choice3,Choice4,Choice4,Choice4,Choice3,Choice4,Choice4,,,
27G2RCJK63ZVK7MXE5LIJQ9JNM97WC,2S6PGFL6VCPW5DWTRH9O41S7SRT6LA,Label the sentiment of each tweet about Microsoft,"In this job, you will be presented with tweets about Microsoft. We need you to review the tweets and classify each tweet's sentiment.",twitter sentiment analysis microsoft positive neutral negative,$0.05 ,Wed Sep 18 05:26:31 GMT 2013,3,BatchId:1270462;,1800,28800,Wed Sep 25 05:26:31 GMT 2013,,,2GP3YOCCF0CPBO2V73EIRXYGC94ST2,A3B474LIYGQ6DO,Approved,Wed Sep 18 06:29:56 GMT 2013,Wed Sep 18 06:31:10 GMT 2013,Wed Sep 18 14:31:10 GMT 2013,2013/09/18 14:35:16 +0000,,,74,100% (27/27),100% (27/27),100% (27/27),How Microsoft Outlook Support helps you to work in peace http://t.co/jmMiJNmwIS,#NewarkJobs Senior System Administrator (Microsoft): Forces Recruitment Services (Franchising)... http://t.co/NYKDNN9dvL #Job #Newark #Jobs,"Xbox Music Launches On Ios And Android, Free Streaming On The Web:  Microsoft is expanding its Xbox Music serv... http://t.co/3iDABF5Uws","has presented before audiences at Microsoft, Amazon, Televisa, Stanford Business School, Harvard Business School, and many other","Music, Noodles, Microsoft Word #InMyZone","#geordi3B0y With Android plateauing, can Microsoft take advantage? - Indian Express http://t.co/JCQv1hErDZ",microsoft office 2007  windows xp torrent:   -   !   ... http://t.co/O5ZVHP2CuS,"Microsoft System Center Orchestrator Engineer - Oak Brook, IL #job #hiring http://t.co/1EnS2W1Vqx",Microsoft Pangkas Harga Nokia Lumia 1020 Hingga Rp 1 Jutaan: 09/09/2013 10:50 Paduan smartphone dengan kamera ... http://t.co/Qy4vENrQ4C,Microsoft cubic read-dextrous climate auroraux endure referring to straight a notebook,0,positive,Choice4,Choice4,Choice3,Choice4,Choice5,Choice3,Choice4,Choice3,Choice3,Choice4,GOOD ATTEMPT,,
27G2RCJK63ZVK7MXE5LIJQ9JNM97WC,2S6PGFL6VCPW5DWTRH9O41S7SRT6LA,Label the sentiment of each tweet about Microsoft,"In this job, you will be presented with tweets about Microsoft. We need you to review the tweets and classify each tweet's sentiment.",twitter sentiment analysis microsoft positive neutral negative,$0.05 ,Wed Sep 18 05:26:31 GMT 2013,3,BatchId:1270462;,1800,28800,Wed Sep 25 05:26:31 GMT 2013,,,2V0I9NZW6HEZCSJA4HYTH69G26IXNC,A3PDKI5EE5ZC5B,Approved,Wed Sep 18 06:16:30 GMT 2013,Wed Sep 18 06:18:16 GMT 2013,Wed Sep 18 14:18:16 GMT 2013,2013/09/18 14:20:18 +0000,,,106,100% (23/23),100% (23/23),100% (23/23),How Microsoft Outlook Support helps you to work in peace http://t.co/jmMiJNmwIS,#NewarkJobs Senior System Administrator (Microsoft): Forces Recruitment Services (Franchising)... http://t.co/NYKDNN9dvL #Job #Newark #Jobs,"Xbox Music Launches On Ios And Android, Free Streaming On The Web:  Microsoft is expanding its Xbox Music serv... http://t.co/3iDABF5Uws","has presented before audiences at Microsoft, Amazon, Televisa, Stanford Business School, Harvard Business School, and many other","Music, Noodles, Microsoft Word #InMyZone","#geordi3B0y With Android plateauing, can Microsoft take advantage? - Indian Express http://t.co/JCQv1hErDZ",microsoft office 2007  windows xp torrent:   -   !   ... http://t.co/O5ZVHP2CuS,"Microsoft System Center Orchestrator Engineer - Oak Brook, IL #job #hiring http://t.co/1EnS2W1Vqx",Microsoft Pangkas Harga Nokia Lumia 1020 Hingga Rp 1 Jutaan: 09/09/2013 10:50 Paduan smartphone dengan kamera ... http://t.co/Qy4vENrQ4C,Microsoft cubic read-dextrous climate auroraux endure referring to straight a notebook,0,positive,Choice4,Choice4,Choice3,Choice4,Choice3,Choice2,Choice4,Choice3,Choice2,Choice4,,,
2KVHJHP4BDDKM83E5DO963G37OEY5N,2S6PGFL6VCPW5DWTRH9O41S7SRT6LA,Label the sentiment of each tweet about Microsoft,"In this job, you will be presented with tweets about Microsoft. We need you to review the tweets and classify each tweet's sentiment.",twitter sentiment analysis microsoft positive neutral negative,$0.05 ,Wed Sep 18 05:26:31 GMT 2013,3,BatchId:1270462;,1800,28800,Wed Sep 25 05:26:31 GMT 2013,,,2CXL8I9NZW6HK3BUSPHWGT86H0CLVX,AFAJMHG41F7Q9,Approved,Wed Sep 18 06:43:56 GMT 2013,Wed Sep 18 06:47:14 GMT 2013,Wed Sep 18 14:47:14 GMT 2013,2013/09/18 14:50:16 +0000,,,198,100% (26/26),100% (26/26),100% (26/26),"Microsoft Bringing Xbox Music To Android  Unlimited Streaming For Subscribers, No Offline Mode http://t.co/oMzf6L0SMQ",Microsoft doubles down on Xbox Music with revamped service  including iOS and Google Play apps http://t.co/eBXN7hpMqY,Microsoft releases Xbox Music for iOS with ad-free music streaming and cross-platform syncing http://t.co/kAJ6SHU3lQ #9to5Mac,@AceyBongos @XboxMadUk @MrJon92 I think it is true Microsoft hasnt said anything An Microsoft is very confident that xboxone has more power,"http://t.co/MHd3DtJmnD Microsoft Expands Xbox Music Service to Android, Apple Devices - Businessweek: Microsoft... http://t.co/8AhluzHuFJ",What Do You Do With a Kinect? http://t.co/0wduEco7TF #xbox #fail #microsoft #kinect,RT @TheNextWeb: Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/jHBBjsrgTS by @kaylenehong,"With Android plateauing, can Microsoft take advantage? - Indian Express http://t.co/8Bv8iWCMc5",Microsoft launches Xbox Music on Web for free: LOS ANGELES     (AP) -- Microsoft is making ... http://t.co/8XQQHfASYZ #TruOptik #BigData,Microsoft releases Xbox Music for iOS with ad-free music streaming and cross-platform syncing http://t.co/4GPAAI1lXA,8,positive,Choice4,Choice4,Choice4,Choice4,Choice4,Choice2,Choice4,Choice4,Choice2,Choice4,,,
