RequesterAnnotation,Title,WorkerId,RequesterFeedback,CreationTime,AssignmentDurationInSeconds,AcceptTime,HITId,Reject,Answer.Q2,RejectionTime,ApprovalTime,Answer.Q5,Description,Input.tweet6,Last30DaysApprovalRate,AutoApprovalTime,Answer.comment,Answer.Q0,AssignmentStatus,NumberOfSimilarHITs,Input.label,AssignmentId,WorkTimeInSeconds,HITTypeId,Expiration,Answer.Q8,Answer.Q9,Answer.Q6,Answer.Q7,Answer.Q4,Reward,Input.control,Answer.Q3,LifetimeInSeconds,Answer.Q1,AutoApprovalDelayInSeconds,MaxAssignments,LifetimeApprovalRate,Input.tweet7,SubmitTime,Input.tweet5,Input.tweet4,Input.tweet3,Input.tweet2,Input.tweet1,Input.tweet0,Keywords,Approve,Last7DaysApprovalRate,Input.tweet9,Input.tweet8
BatchId:1270462;,Label the sentiment of each tweet about Microsoft,A2FX9JQSS8NL7K,,Wed Sep 18 05:26:31 GMT 2013,1800,Wed Sep 18 06:33:05 GMT 2013,2CQER9Y8TNKIS3XSJ56H12OM26Y7UD,X,Choice2,,2013/09/18 14:35:17 +0000,Choice3,"In this job, you will be presented with tweets about Microsoft. We need you to review the tweets and classify each tweet's sentiment.","RT @liputan6dotcom: Wow, Microsoft Pangkas Harga Nokia Lumia Hingga Rp 1 Jutaan. Tertarik?  http://t.co/ru4OWuOWJV via @Lip6Tekno http://t.",100% (27/27),Wed Sep 18 14:34:02 GMT 2013,,Choice1,Approved,,positive,2CJCJK63ZVE3NV5Q831QIJL5ZNXY9M,57,2S6PGFL6VCPW5DWTRH9O41S7SRT6LA,Wed Sep 25 05:26:31 GMT 2013,Choice3,Choice4,Choice1,Choice2,Choice5,$0.05 ,7,Choice4,,Choice2,28800,3,100% (27/27),RT @TheNextWeb: Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/jHBBjsrgTS by @kaylenehong,Wed Sep 18 06:34:02 GMT 2013,Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/z2LpfFS7ah by @kaylenehong,RT @TheNextWeb: Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/jHBBjsrgTS by @kaylenehong,"Microsoft Expands Xbox Music Service to Android, Apple Devices - Businessweek: Boston GlobeMicrosoft Expands X... http://t.co/SUMbye8pxX",Microsoft Exelnya agak agak lupa !!!!,Microsoft Pangkas Harga Nokia Lumia 1020 Hingga Rp 1 Jutaan: 09/09/2013 10:50 Paduan smartphone dengan kamera ... http://t.co/KgmSEzQ58X,RT @TheNextWeb: Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/jHBBjsrgTS by @kaylenehong,twitter sentiment analysis microsoft positive neutral negative,,100% (27/27),from @jeruknipiscom Microsoft Turunkan Harga Nokia Lumia 1020 Di Amerika http://t.co/kZ2gWRjgAQ,"Gayme On!: 3 Consoles, 3 Companies: Microsoft http://t.co/GHwdNFJXg0"
BatchId:1270462;,Label the sentiment of each tweet about Microsoft,A3PDKI5EE5ZC5B,,Wed Sep 18 05:26:31 GMT 2013,1800,Wed Sep 18 06:30:06 GMT 2013,2CQER9Y8TNKIS3XSJ56H12OM26Y7UD,X,Choice3,,2013/09/18 14:35:16 +0000,Choice4,"In this job, you will be presented with tweets about Microsoft. We need you to review the tweets and classify each tweet's sentiment.","RT @liputan6dotcom: Wow, Microsoft Pangkas Harga Nokia Lumia Hingga Rp 1 Jutaan. Tertarik?  http://t.co/ru4OWuOWJV via @Lip6Tekno http://t.",100% (23/23),Wed Sep 18 14:31:56 GMT 2013,,Choice4,Approved,,positive,2IQ1THV8ER9YEXSQW7QSV5KFPCJP2Q,110,2S6PGFL6VCPW5DWTRH9O41S7SRT6LA,Wed Sep 25 05:26:31 GMT 2013,Choice4,Choice4,Choice4,Choice3,Choice4,$0.05 ,7,Choice4,,Choice4,28800,3,100% (23/23),RT @TheNextWeb: Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/jHBBjsrgTS by @kaylenehong,Wed Sep 18 06:31:56 GMT 2013,Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/z2LpfFS7ah by @kaylenehong,RT @TheNextWeb: Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/jHBBjsrgTS by @kaylenehong,"Microsoft Expands Xbox Music Service to Android, Apple Devices - Businessweek: Boston GlobeMicrosoft Expands X... http://t.co/SUMbye8pxX",Microsoft Exelnya agak agak lupa !!!!,Microsoft Pangkas Harga Nokia Lumia 1020 Hingga Rp 1 Jutaan: 09/09/2013 10:50 Paduan smartphone dengan kamera ... http://t.co/KgmSEzQ58X,RT @TheNextWeb: Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/jHBBjsrgTS by @kaylenehong,twitter sentiment analysis microsoft positive neutral negative,,100% (23/23),from @jeruknipiscom Microsoft Turunkan Harga Nokia Lumia 1020 Di Amerika http://t.co/kZ2gWRjgAQ,"Gayme On!: 3 Consoles, 3 Companies: Microsoft http://t.co/GHwdNFJXg0"
BatchId:1270462;,Label the sentiment of each tweet about Microsoft,AH1OF8SMYHFGO,,Wed Sep 18 05:26:31 GMT 2013,1800,Wed Sep 18 06:39:58 GMT 2013,2CQER9Y8TNKIS3XSJ56H12OM26Y7UD,X,Choice3,,2013/09/18 14:55:16 +0000,Choice6,"In this job, you will be presented with tweets about Microsoft. We need you to review the tweets and classify each tweet's sentiment.","RT @liputan6dotcom: Wow, Microsoft Pangkas Harga Nokia Lumia Hingga Rp 1 Jutaan. Tertarik?  http://t.co/ru4OWuOWJV via @Lip6Tekno http://t.",100% (31/31),Wed Sep 18 14:53:00 GMT 2013,,Choice4,Approved,,positive,2ZV6XBAT2D5NW2SBTOH0SG5T666151,782,2S6PGFL6VCPW5DWTRH9O41S7SRT6LA,Wed Sep 25 05:26:31 GMT 2013,Choice6,Choice4,Choice4,Choice3,Choice4,$0.05 ,7,Choice4,,Choice3,28800,3,100% (31/31),RT @TheNextWeb: Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/jHBBjsrgTS by @kaylenehong,Wed Sep 18 06:53:00 GMT 2013,Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/z2LpfFS7ah by @kaylenehong,RT @TheNextWeb: Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/jHBBjsrgTS by @kaylenehong,"Microsoft Expands Xbox Music Service to Android, Apple Devices - Businessweek: Boston GlobeMicrosoft Expands X... http://t.co/SUMbye8pxX",Microsoft Exelnya agak agak lupa !!!!,Microsoft Pangkas Harga Nokia Lumia 1020 Hingga Rp 1 Jutaan: 09/09/2013 10:50 Paduan smartphone dengan kamera ... http://t.co/KgmSEzQ58X,RT @TheNextWeb: Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/jHBBjsrgTS by @kaylenehong,twitter sentiment analysis microsoft positive neutral negative,,100% (31/31),from @jeruknipiscom Microsoft Turunkan Harga Nokia Lumia 1020 Di Amerika http://t.co/kZ2gWRjgAQ,"Gayme On!: 3 Consoles, 3 Companies: Microsoft http://t.co/GHwdNFJXg0"
BatchId:1270462;,Label the sentiment of each tweet about Microsoft,AH1OF8SMYHFGO,,Wed Sep 18 05:26:31 GMT 2013,1800,Wed Sep 18 06:44:43 GMT 2013,2NAK9RJ85OZI5IMSOVGMXOQ5GD77V2,,Choice4,,2013/09/18 14:45:16 +0000,Choice4,"In this job, you will be presented with tweets about Microsoft. We need you to review the tweets and classify each tweet's sentiment.","RT @MSFTnews: Microsoft brings @Xbox Music to iOS and Android devices, plus free streaming on the Web. http://t.co/zbMiNyv5PO",100% (31/31),Wed Sep 18 14:45:12 GMT 2013,,Choice4,Approved,,positive,2HSG5R98D8J31IC26DKN7CG3UW3EUF,29,2S6PGFL6VCPW5DWTRH9O41S7SRT6LA,Wed Sep 25 05:26:31 GMT 2013,Choice4,Choice4,Choice4,Choice4,Choice3,$0.05 ,2,Choice4,,Choice3,28800,3,100% (31/31),Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/yRIMwicFix,Wed Sep 18 06:45:12 GMT 2013,Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/YFcHu2CMxK,RT @uildverjiltmn: Microsoft   Nokia-    |    ... http://t.co/ic0aJofTL5,Microsoft Is About to Get Scroogled http://t.co/lMRS0Pv7IF,Microsoft doubles down on Xbox Music with revamped service  including iOS and Google Play apps http://t.co/YoeYeaJxtA #xplatformgames,"http://t.co/2JxWCWZoyL   - microsoft office access 2007,  ",Microsoft doubles down on Xbox Music with revamped service  including iOS and Google Play apps,twitter sentiment analysis microsoft positive neutral negative,X,100% (31/31),"RT @MSFTnews: Microsoft brings @Xbox Music to iOS and Android devices, plus free streaming on the Web. http://t.co/zbMiNyv5PO",Microsoft Launches Xbox Music on Web for Free http://t.co/1e4nzI2yZr
BatchId:1270462;,Label the sentiment of each tweet about Microsoft,A2FX9JQSS8NL7K,,Wed Sep 18 05:26:31 GMT 2013,1800,Wed Sep 18 06:37:11 GMT 2013,2NAK9RJ85OZI5IMSOVGMXOQ5GD77V2,X,Choice3,,2013/09/18 14:40:17 +0000,Choice1,"In this job, you will be presented with tweets about Microsoft. We need you to review the tweets and classify each tweet's sentiment.","RT @MSFTnews: Microsoft brings @Xbox Music to iOS and Android devices, plus free streaming on the Web. http://t.co/zbMiNyv5PO",100% (27/27),Wed Sep 18 14:38:00 GMT 2013,,Choice2,Approved,,positive,2LW9F9SSSHX17NTT6EWHEF8JC86UY8,49,2S6PGFL6VCPW5DWTRH9O41S7SRT6LA,Wed Sep 25 05:26:31 GMT 2013,Choice1,Choice4,Choice2,Choice3,Choice5,$0.05 ,2,Choice4,,Choice2,28800,3,100% (27/27),Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/yRIMwicFix,Wed Sep 18 06:38:00 GMT 2013,Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/YFcHu2CMxK,RT @uildverjiltmn: Microsoft   Nokia-    |    ... http://t.co/ic0aJofTL5,Microsoft Is About to Get Scroogled http://t.co/lMRS0Pv7IF,Microsoft doubles down on Xbox Music with revamped service  including iOS and Google Play apps http://t.co/YoeYeaJxtA #xplatformgames,"http://t.co/2JxWCWZoyL   - microsoft office access 2007,  ",Microsoft doubles down on Xbox Music with revamped service  including iOS and Google Play apps,twitter sentiment analysis microsoft positive neutral negative,,100% (27/27),"RT @MSFTnews: Microsoft brings @Xbox Music to iOS and Android devices, plus free streaming on the Web. http://t.co/zbMiNyv5PO",Microsoft Launches Xbox Music on Web for Free http://t.co/1e4nzI2yZr
BatchId:1270462;,Label the sentiment of each tweet about Microsoft,A1UYEKLO65NE9A,,Wed Sep 18 05:26:31 GMT 2013,1800,Wed Sep 18 06:31:39 GMT 2013,2NAK9RJ85OZI5IMSOVGMXOQ5GD77V2,X,Choice2,,2013/09/18 14:35:16 +0000,Choice4,"In this job, you will be presented with tweets about Microsoft. We need you to review the tweets and classify each tweet's sentiment.","RT @MSFTnews: Microsoft brings @Xbox Music to iOS and Android devices, plus free streaming on the Web. http://t.co/zbMiNyv5PO",100% (63/63),Wed Sep 18 14:32:15 GMT 2013,,Choice2,Approved,,positive,2ZBWKUDD8XMB9U8FDL263TO61OWCNR,36,2S6PGFL6VCPW5DWTRH9O41S7SRT6LA,Wed Sep 25 05:26:31 GMT 2013,Choice4,Choice4,Choice2,Choice2,Choice4,$0.05 ,2,Choice4,,Choice3,28800,3,100% (63/63),Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/yRIMwicFix,Wed Sep 18 06:32:15 GMT 2013,Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/YFcHu2CMxK,RT @uildverjiltmn: Microsoft   Nokia-    |    ... http://t.co/ic0aJofTL5,Microsoft Is About to Get Scroogled http://t.co/lMRS0Pv7IF,Microsoft doubles down on Xbox Music with revamped service  including iOS and Google Play apps http://t.co/YoeYeaJxtA #xplatformgames,"http://t.co/2JxWCWZoyL   - microsoft office access 2007,  ",Microsoft doubles down on Xbox Music with revamped service  including iOS and Google Play apps,twitter sentiment analysis microsoft positive neutral negative,,100% (63/63),"RT @MSFTnews: Microsoft brings @Xbox Music to iOS and Android devices, plus free streaming on the Web. http://t.co/zbMiNyv5PO",Microsoft Launches Xbox Music on Web for Free http://t.co/1e4nzI2yZr
BatchId:1270462;,Label the sentiment of each tweet about Microsoft,A1UYEKLO65NE9A,,Wed Sep 18 05:26:31 GMT 2013,1800,Wed Sep 18 06:24:59 GMT 2013,27G2RCJK63ZVK7MXE5LIJQ9JNM97WC,,Choice3,,2013/09/18 14:30:16 +0000,Choice4,"In this job, you will be presented with tweets about Microsoft. We need you to review the tweets and classify each tweet's sentiment.",microsoft office 2007  windows xp torrent:   -   !   ... http://t.co/O5ZVHP2CuS,100% (63/63),Wed Sep 18 14:25:51 GMT 2013,,Choice4,Approved,,positive,20O618N46UXFIH9BBX5TWDSN140PR6,52,2S6PGFL6VCPW5DWTRH9O41S7SRT6LA,Wed Sep 25 05:26:31 GMT 2013,Choice4,Choice4,Choice4,Choice3,Choice4,$0.05 ,0,Choice3,,Choice6,28800,3,100% (63/63),"Microsoft System Center Orchestrator Engineer - Oak Brook, IL #job #hiring http://t.co/1EnS2W1Vqx",Wed Sep 18 06:25:51 GMT 2013,"#geordi3B0y With Android plateauing, can Microsoft take advantage? - Indian Express http://t.co/JCQv1hErDZ","Music, Noodles, Microsoft Word #InMyZone","has presented before audiences at Microsoft, Amazon, Televisa, Stanford Business School, Harvard Business School, and many other","Xbox Music Launches On Ios And Android, Free Streaming On The Web:  Microsoft is expanding its Xbox Music serv... http://t.co/3iDABF5Uws",#NewarkJobs Senior System Administrator (Microsoft): Forces Recruitment Services (Franchising)... http://t.co/NYKDNN9dvL #Job #Newark #Jobs,How Microsoft Outlook Support helps you to work in peace http://t.co/jmMiJNmwIS,twitter sentiment analysis microsoft positive neutral negative,X,100% (63/63),Microsoft cubic read-dextrous climate auroraux endure referring to straight a notebook,Microsoft Pangkas Harga Nokia Lumia 1020 Hingga Rp 1 Jutaan: 09/09/2013 10:50 Paduan smartphone dengan kamera ... http://t.co/Qy4vENrQ4C
BatchId:1270462;,Label the sentiment of each tweet about Microsoft,A3B474LIYGQ6DO,,Wed Sep 18 05:26:31 GMT 2013,1800,Wed Sep 18 06:29:56 GMT 2013,27G2RCJK63ZVK7MXE5LIJQ9JNM97WC,,Choice3,,2013/09/18 14:35:16 +0000,Choice3,"In this job, you will be presented with tweets about Microsoft. We need you to review the tweets and classify each tweet's sentiment.",microsoft office 2007  windows xp torrent:   -   !   ... http://t.co/O5ZVHP2CuS,100% (27/27),Wed Sep 18 14:31:10 GMT 2013,GOOD ATTEMPT,Choice4,Approved,,positive,2GP3YOCCF0CPBO2V73EIRXYGC94ST2,74,2S6PGFL6VCPW5DWTRH9O41S7SRT6LA,Wed Sep 25 05:26:31 GMT 2013,Choice3,Choice4,Choice4,Choice3,Choice5,$0.05 ,0,Choice4,,Choice4,28800,3,100% (27/27),"Microsoft System Center Orchestrator Engineer - Oak Brook, IL #job #hiring http://t.co/1EnS2W1Vqx",Wed Sep 18 06:31:10 GMT 2013,"#geordi3B0y With Android plateauing, can Microsoft take advantage? - Indian Express http://t.co/JCQv1hErDZ","Music, Noodles, Microsoft Word #InMyZone","has presented before audiences at Microsoft, Amazon, Televisa, Stanford Business School, Harvard Business School, and many other","Xbox Music Launches On Ios And Android, Free Streaming On The Web:  Microsoft is expanding its Xbox Music serv... http://t.co/3iDABF5Uws",#NewarkJobs Senior System Administrator (Microsoft): Forces Recruitment Services (Franchising)... http://t.co/NYKDNN9dvL #Job #Newark #Jobs,How Microsoft Outlook Support helps you to work in peace http://t.co/jmMiJNmwIS,twitter sentiment analysis microsoft positive neutral negative,X,100% (27/27),Microsoft cubic read-dextrous climate auroraux endure referring to straight a notebook,Microsoft Pangkas Harga Nokia Lumia 1020 Hingga Rp 1 Jutaan: 09/09/2013 10:50 Paduan smartphone dengan kamera ... http://t.co/Qy4vENrQ4C
BatchId:1270462;,Label the sentiment of each tweet about Microsoft,A3PDKI5EE5ZC5B,,Wed Sep 18 05:26:31 GMT 2013,1800,Wed Sep 18 06:16:30 GMT 2013,27G2RCJK63ZVK7MXE5LIJQ9JNM97WC,,Choice3,,2013/09/18 14:20:18 +0000,Choice2,"In this job, you will be presented with tweets about Microsoft. We need you to review the tweets and classify each tweet's sentiment.",microsoft office 2007  windows xp torrent:   -   !   ... http://t.co/O5ZVHP2CuS,100% (23/23),Wed Sep 18 14:18:16 GMT 2013,,Choice4,Approved,,positive,2V0I9NZW6HEZCSJA4HYTH69G26IXNC,106,2S6PGFL6VCPW5DWTRH9O41S7SRT6LA,Wed Sep 25 05:26:31 GMT 2013,Choice2,Choice4,Choice4,Choice3,Choice3,$0.05 ,0,Choice4,,Choice4,28800,3,100% (23/23),"Microsoft System Center Orchestrator Engineer - Oak Brook, IL #job #hiring http://t.co/1EnS2W1Vqx",Wed Sep 18 06:18:16 GMT 2013,"#geordi3B0y With Android plateauing, can Microsoft take advantage? - Indian Express http://t.co/JCQv1hErDZ","Music, Noodles, Microsoft Word #InMyZone","has presented before audiences at Microsoft, Amazon, Televisa, Stanford Business School, Harvard Business School, and many other","Xbox Music Launches On Ios And Android, Free Streaming On The Web:  Microsoft is expanding its Xbox Music serv... http://t.co/3iDABF5Uws",#NewarkJobs Senior System Administrator (Microsoft): Forces Recruitment Services (Franchising)... http://t.co/NYKDNN9dvL #Job #Newark #Jobs,How Microsoft Outlook Support helps you to work in peace http://t.co/jmMiJNmwIS,twitter sentiment analysis microsoft positive neutral negative,X,100% (23/23),Microsoft cubic read-dextrous climate auroraux endure referring to straight a notebook,Microsoft Pangkas Harga Nokia Lumia 1020 Hingga Rp 1 Jutaan: 09/09/2013 10:50 Paduan smartphone dengan kamera ... http://t.co/Qy4vENrQ4C
BatchId:1270462;,Label the sentiment of each tweet about Microsoft,AFAJMHG41F7Q9,,Wed Sep 18 05:26:31 GMT 2013,1800,Wed Sep 18 06:43:56 GMT 2013,2KVHJHP4BDDKM83E5DO963G37OEY5N,X,Choice4,,2013/09/18 14:50:16 +0000,Choice2,"In this job, you will be presented with tweets about Microsoft. We need you to review the tweets and classify each tweet's sentiment.",RT @TheNextWeb: Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/jHBBjsrgTS by @kaylenehong,100% (26/26),Wed Sep 18 14:47:14 GMT 2013,,Choice4,Approved,,positive,2CXL8I9NZW6HK3BUSPHWGT86H0CLVX,198,2S6PGFL6VCPW5DWTRH9O41S7SRT6LA,Wed Sep 25 05:26:31 GMT 2013,Choice2,Choice4,Choice4,Choice4,Choice4,$0.05 ,8,Choice4,,Choice4,28800,3,100% (26/26),"With Android plateauing, can Microsoft take advantage? - Indian Express http://t.co/8Bv8iWCMc5",Wed Sep 18 06:47:14 GMT 2013,What Do You Do With a Kinect? http://t.co/0wduEco7TF #xbox #fail #microsoft #kinect,"http://t.co/MHd3DtJmnD Microsoft Expands Xbox Music Service to Android, Apple Devices - Businessweek: Microsoft... http://t.co/8AhluzHuFJ",@AceyBongos @XboxMadUk @MrJon92 I think it is true Microsoft hasnt said anything An Microsoft is very confident that xboxone has more power,Microsoft releases Xbox Music for iOS with ad-free music streaming and cross-platform syncing http://t.co/kAJ6SHU3lQ #9to5Mac,Microsoft doubles down on Xbox Music with revamped service  including iOS and Google Play apps http://t.co/eBXN7hpMqY,"Microsoft Bringing Xbox Music To Android  Unlimited Streaming For Subscribers, No Offline Mode http://t.co/oMzf6L0SMQ",twitter sentiment analysis microsoft positive neutral negative,,100% (26/26),Microsoft releases Xbox Music for iOS with ad-free music streaming and cross-platform syncing http://t.co/4GPAAI1lXA,Microsoft launches Xbox Music on Web for free: LOS ANGELES     (AP) -- Microsoft is making ... http://t.co/8XQQHfASYZ #TruOptik #BigData
