@drewpcco: I need Microsoft word for my Mac. Anybody?	AartsAndCraft
http://t.co/PPKAbW1kq9     microsoft office excel 2007	Reggae1986
@microsoft when wil nokia microsoft out in market	UrtrulyMahesh
Microsoft launches Xbox Music on Web for free http://t.co/saiDFuszVr	MiniGamesRat
Microsoft cuts Surface Pro tablet price by $100 | Limited Time Only - Windows 8 Tablets Review http://t.co/a5OwGbNTW9	SaveALittlMoney
my dad got me open office which is probably the ghetto version of microsoft office oh	acciophil
Microsoft Takes Xbox Music to Rival Devices http://t.co/yiDrAfoUTs #Microsoft #NewsMakers #music	miiz88
   hotmail       microsoft  5      	00771f8_mzmz
Xbox Music is here, for better and worse: Microsofts Xbox Music is being extended to play on different device... http://t.co/QjTFAGWsE3	andikhm01
RT @OpTicMiDNiTE: I think the Xbox One dashboard looks like an improved version of the current. Very Windows 8-like but what did you expect	jchateau98
#LetsMakeItAwkward @apple @Microsoft	Talal_Hussain98
RT @KingQuagmire: #Microsoft Store Allowing Upgrades To Switch From 360 Games To Their #XboxOne Counterparts http://t.co/kPgSdeHBPG	Gaming_Retweets
Learn about formatting connectors within #flowcharts in Microsoft Office 2011 applications http://t.co/MhtbQfE9Yf	scrapbookppt
#Microsoft Ballmer announces plan to retire and the stock kicks up nearly 10 percent.  Tells us what the market thinks of his leadership.	kushkovski3
Microsoft releases Xbox Music for iOS with ad-free music streaming and cross-platform syncing http://t.co/WPpuisJUN8	Harbooq
#tech Microsoft launches Xbox Music on Web for free http://t.co/MMvrVUW272	SocialApptitude
Microsoft Word just announced there are too many punctuation errors in my document for it to continue tracking. I LOVE VERSE NOVELS. :D &lt;3	alsonnichsen
development by magento developers cisin com Adak Cisin is an ISO certified and Microsoft Gold Certif	TzouliabgtAbudi
Microsoft launches Xbox Music on Web for free http://t.co/uIQef4Ex5i	Bernie2708
That moment when Microsoft word won't load and I have an essay due at midnight 	samantha_rose28
RT @nytimes: Worries That Microsoft Is Growing Too Tricky to Manage http://t.co/Lv24x5opls	Revulsive
Info Cash: Make easy money online by legally exploiting the new Facebook and Microsoft search engine. http://t.co/mZs6IS7Mfn	Raja_Koppula
"Worries That Microsoft Is Growing Too Tricky to Manage" good read http://t.co/p8AWGnGBpD	mwplaisance
@Talal_Hussain98 @Apple @Microsoft wrong apple	Clong44
@LouisatheLast think microsoft did an update to bring the start menu back, but i dont know as im on vista so not too worried about 8	Sirius7dk
Microsoft doubles down on Xbox Music with revamped service  including iOS and Google Play apps http://t.co/YoeYeaJxtA #xplatformgames	xplatformgames
