tweet,user,label
RT @TheNextWeb: Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/jHBBjsrgTS by @kaylenehong,PAUL_SPEIGHT,positive
RT @TheNextWeb: Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/jHBBjsrgTS by @kaylenehong,CSMC_Tech,
Microsoft Pangkas Harga Nokia Lumia 1020 Hingga Rp 1 Jutaan: 09/09/2013 10:50 Paduan smartphone dengan kamera ... http://t.co/KgmSEzQ58X,aishanabil08,
Microsoft doubles down on Xbox Music with revamped service  including iOS and Google Play apps http://t.co/YoeYeaJxtA #xplatformgames,xplatformgames,positive
Microsoft Exelnya agak agak lupa !!!!,Ahmad_Tamami,
How Microsoft Outlook Support helps you to work in peace http://t.co/jmMiJNmwIS,albionpccare,positive
Microsoft launches Xbox Music on Web for free: LOS ANGELES     (AP) -- Microsoft is making ... http://t.co/8XQQHfASYZ #TruOptik #BigData,TruOptik,positive
"Microsoft Expands Xbox Music Service to Android, Apple Devices - Businessweek: Boston GlobeMicrosoft Expands X... http://t.co/SUMbye8pxX",jpeMEDIA,
RT @TheNextWeb: Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/jHBBjsrgTS by @kaylenehong,faxoverip,
RT @UberFacts: Apple's iPhone is now worth more than all of Microsoft.,MrsDarylDixon02,negative
Microsoft launches Xbox Music on Web for free: The expansion beyond Windows 8 devices and Xbox game consoles s... http://t.co/PLOMtutugH,gurlylaura,positive
Xbox Music lands on iOS and Android devices as Microsoft rolls out free Web streaming http://t.co/z2LpfFS7ah by @kaylenehong,TNWmicrosoft,
"RT @MSFTnews: Microsoft brings @Xbox Music to iOS and Android devices, plus free streaming on the Web. http://t.co/zbMiNyv5PO",shanthiswaroopp,positive
"Attention: Apple, Microsoft, Google, and other tech companies. your products are not impressive until you release holograms",219112,negative
Microsoft expands Xbox Music service to Web and devices - USA TODAY: Wall Street Journal (blog)Microsoft expan... http://t.co/Vk10dxHj1G,KhalidRafiq76,positive
"#geordi3B0y Microsoft Expands Xbox Music Service to Android, Apple Devices - Businessweek http://t.co/1Qz9De2TK7",Geordi3B0y,positive
"Xbox Music is here, for better and worse: Microsofts Xbox Music is being extended to play on different device... http://t.co/QjTFAGWsE3",andikhm01,neutral
Microsoft SMB Advantage 13 http://t.co/sXE4ljHRRP via @cstrategiesllc,CStrategiesLLC,positive
